"PUBLICATION DATE","REFERENCE YEAR","INDUSTRY","UNIT","FORECAST VALUE","REVISION REASON"
"20210114","2019","Securities","Thousands of Jobs","182.1",
"20210114","2019","Professional & Business Services","Thousands of Jobs","794.1",
"20210114","2019","Information","Thousands of Jobs","211.2",
"20210114","2019","Education","Thousands of Jobs","255.6",
"20210114","2019","Health & Social Services","Thousands of Jobs","799.4",
"20210114","2019","Leisure & Hospitality","Thousands of Jobs","466.2",
"20210114","2019","Wholesale & Retail Trade","Thousands of Jobs","485.2",
"20210114","2019","Transportation & Utilities","Thousands of Jobs","147.5",
"20210114","2019","Construction","Thousands of Jobs","159.9",
"20210114","2019","Manufacturing","Thousands of Jobs","67.3",
"20210114","2019","Other Services","Thousands of Jobs","194.7",
"20210114","2019","Government","Thousands of Jobs","588",
"20210114","2020","Total","Thousands of Jobs","4,140.5",
"20210114","2020","Private","Thousands of Jobs","3,564.7",
"20210114","2020","Financial Activities","Thousands of Jobs","461",
"20210114","2020","Securities","Thousands of Jobs","174.5",
"20210114","2020","Professional & Business Services","Thousands of Jobs","715.4",
"20210114","2020","Information","Thousands of Jobs","203.3",
"20210114","2020","Education","Thousands of Jobs","231.8",
"20210114","2020","Health & Social Services","Thousands of Jobs","771.1",
"20210114","2020","Leisure & Hospitality","Thousands of Jobs","278.6",
"20210114","2020","Wholesale & Retail Trade","Thousands of Jobs","427.6",
"20210114","2020","Transportation & Utilities","Thousands of Jobs","120.4",
"20210114","2020","Construction","Thousands of Jobs","137.4",
"20210114","2020","Manufacturing","Thousands of Jobs","56.2",
"20210114","2020","Other Services","Thousands of Jobs","165.5",
"20210114","2020","Government","Thousands of Jobs","573.3",
"20210114","2021","Total","Thousands of Jobs","4,331.7",
"20210114","2021","Private","Thousands of Jobs","3,745.1",
"20210114","2021","Financial Activities","Thousands of Jobs","466.3",
"20210114","2021","Securities","Thousands of Jobs","182.6",
"20210114","2021","Professional & Business Services","Thousands of Jobs","752.4",
"20210114","2021","Information","Thousands of Jobs","209.4",
"20210114","2021","Education","Thousands of Jobs","237.9",
"20210114","2021","Health & Social Services","Thousands of Jobs","802.5",
"20210114","2021","Leisure & Hospitality","Thousands of Jobs","322",
