"PUBLICATION DATE","REFERENCE YEAR","INDUSTRY","UNIT","FORECAST VALUE","REVISION REASON"
"20250116","2023","Other Services","Thousands of Jobs","181.85",
"20250116","2023","Government","Thousands of Jobs","567.542",
"20250116","2024","Total","Thousands of Jobs","4,747.756",
"20250116","2024","Private","Thousands of Jobs","4,173.146",
"20250116","2024","Financial Activities","Thousands of Jobs","501.004",
"20250116","2024","Securities","Thousands of Jobs","194.795",
"20250116","2024","Professional & Business Services","Thousands of Jobs","792.939",
"20250116","2024","Information","Thousands of Jobs","211.61",
"20250116","2024","Education","Thousands of Jobs","257.018",
"20250116","2024","Health & Social Services","Thousands of Jobs","999.765",
"20250116","2024","Leisure & Hospitality","Thousands of Jobs","451.233",
"20250116","2024","Wholesale & Retail Trade","Thousands of Jobs","432.988",
"20250116","2024","Transportation & Utilities","Thousands of Jobs","151.093",
"20250116","2024","Construction","Thousands of Jobs","135.54",
"20250116","2024","Manufacturing","Thousands of Jobs","56.699",
"20250116","2024","Other Services","Thousands of Jobs","183.215",
"20250116","2024","Government","Thousands of Jobs","574.61",
"20250116","2025","Total","Thousands of Jobs","4,811.035",
"20250116","2025","Private","Thousands of Jobs","4,236.36",
"20250116","2025","Financial Activities","Thousands of Jobs","506.386",
"20250116","2025","Securities","Thousands of Jobs","197.538",
"20250116","2025","Professional & Business Services","Thousands of Jobs","802.455",
"20250116","2025","Information","Thousands of Jobs","211.528",
"20250116","2025","Education","Thousands of Jobs","257.183",
"20250116","2025","Health & Social Services","Thousands of Jobs","1,023.059",
"20250116","2025","Leisure & Hospitality","Thousands of Jobs","470.823",
"20250116","2025","Wholesale & Retail Trade","Thousands of Jobs","437.404",
"20250116","2025","Transportation & Utilities","Thousands of Jobs","153.653",
"20250116","2025","Construction","Thousands of Jobs","135.923",
"20250116","2025","Manufacturing","Thousands of Jobs","54.107",
"20250116","2025","Other Services","Thousands of Jobs","183.873",
"20250116","2025","Government","Thousands of Jobs","574.675",
"20250501","2024","Total","Thousands of Jobs","4,787.45",
"20250501","2024","Private","Thousands of Jobs","4,188.033",
"20250501","2024","Financial Activities","Thousands of Jobs","507.517",
"20250501","2024","Securities","Thousands of Jobs","201.483",
"20250501","2024","Professional & Business Services","Thousands of Jobs","800.108",
"20250501","2024","Information","Thousands of Jobs","224.95",
"20250501","2024","Education","Thousands of Jobs","255.875",
"20250501","2024","Health & Social Services","Thousands of Jobs","996.708",
"20250501","2024","Leisure & Hospitality","Thousands of Jobs","444.833",
"20250501","2024","Wholesale & Retail Trade","Thousands of Jobs","430.333",
"20250501","2024","Transportation & Utilities","Thousands of Jobs","150.833",
"20250501","2024","Construction","Thousands of Jobs","143.133",
"20250501","2024","Manufacturing","Thousands of Jobs","55.217",
"20250501","2024","Other Services","Thousands of Jobs","178.525",
"20250501","2024","Government","Thousands of Jobs","599.417",
"20250501","2025","Total","Thousands of Jobs","4,864.079",
"20250501","2025","Private","Thousands of Jobs","4,263.368",
"20250501","2025","Financial Activities","Thousands of Jobs","514.806",
"20250501","2025","Securities","Thousands of Jobs","204.449",
"20250501","2025","Professional & Business Services","Thousands of Jobs","811.362",
"20250501","2025","Information","Thousands of Jobs","230.832",
"20250501","2025","Education","Thousands of Jobs","258.994",
"20250501","2025","Health & Social Services","Thousands of Jobs","1,024.612",
"20250501","2025","Leisure & Hospitality","Thousands of Jobs","456.71",
"20250501","2025","Wholesale & Retail Trade","Thousands of Jobs","435.067",
"20250501","2025","Transportation & Utilities","Thousands of Jobs","154.702",
"20250501","2025","Construction","Thousands of Jobs","143.15",
"20250501","2025","Manufacturing","Thousands of Jobs","54.104",
"20250501","2025","Other Services","Thousands of Jobs","178.978",
"20250501","2025","Government","Thousands of Jobs","600.71",
"20250501","2026","Total","Thousands of Jobs","4,921.983",
"20250501","2026","Private","Thousands of Jobs","4,319.361",
"20250501","2026","Financial Activities","Thousands of Jobs","520.638",
"20250501","2026","Securities","Thousands of Jobs","207.586",
"20250501","2026","Professional & Business Services","Thousands of Jobs","822.861",
"20250501","2026","Information","Thousands of Jobs","237.319",
"20250501","2026","Education","Thousands of Jobs","261.794",
"20250501","2026","Health & Social Services","Thousands of Jobs","1,024.007",
"20250501","2026","Leisure & Hospitality","Thousands of Jobs","479.956",
"20250501","2026","Wholesale & Retail Trade","Thousands of Jobs","437.302",
"20250501","2026","Transportation & Utilities","Thousands of Jobs","157.509",
"20250501","2026","Construction","Thousands of Jobs","144.729",
"20250501","2026","Manufacturing","Thousands of Jobs","52.894",
"20250501","2026","Other Services","Thousands of Jobs","180.3",
"20250501","2026","Government","Thousands of Jobs","602.623",
